race_id,office,state,district,holder_party,holder_uncertain,open_seat,total,last_7d,dem_party_ie,dem_party_coord,dem_outside,dem_super_pac,dem_total,dem_last_7d,dem_first_party_dollar,dem_side,dem_nominee_candidate_id,dem_nominee_name,dem_nominee_basis,dem_nominee_receipts,dem_nominee_coh,dem_nominee_late_48h,dem_nominee_from_party,dem_nominee_through,rep_party_ie,rep_party_coord,rep_outside,rep_super_pac,rep_total,rep_last_7d,rep_first_party_dollar,rep_side,rep_nominee_candidate_id,rep_nominee_name,rep_nominee_basis,rep_nominee_receipts,rep_nominee_coh,rep_nominee_late_48h,rep_nominee_from_party,rep_nominee_through,split_signal,note
H-FL-22,H,FL,22,DEM,True,True,137693.42,44629.1,0.0,0.0,15830.76,15818.26,15830.76,0.0,,,H6FL21059,"DANDIYA, PIA",ie,2284052.29,1296684.48,0,0.0,2026-07-29,0.0,0.0,121862.66,121862.66,121862.66,44629.1,,,H6FL22248,"ASKAR, CASEY",ie,2578518.57,1058654.61,0,0.0,2026-07-29,False,
H-NJ-09,H,NJ,09,DEM,False,False,114392.9,39889.68,0.0,0.0,38000.0,38000.0,38000.0,38000.0,,defense,H4NJ09194,"POU, NELIDA",ie,2661928.16,1793358.76,0,5769.79,2026-06-30,0.0,0.0,76392.9,76392.9,76392.9,1889.68,,offense,H6NJ09264,"PINO, ROSEMARY",ie,437828.66,39623.87,0,0.0,2026-06-30,False,
H-NV-03,H,NV,03,DEM,False,False,113202.67,1129.44,0.0,0.0,13772.19,13772.19,13772.19,0.0,,defense,H6NV04020,"LEE, SUSIE",ie,4401421.35,3689228.41,0,5167.52,2026-06-30,0.0,0.0,99430.48,99430.48,99430.48,1129.44,,offense,H4NV03225,"O'DONNELL, MARTY",ie,4026577.61,2409434.24,0,0.0,2026-06-30,False,
H-NY-23,H,NY,23,REP,False,False,95900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6NY23559,"GIES, AARON DR.",receipts,227174.36,17795.38,0,0.0,2026-06-30,0.0,0.0,95900.0,0.0,95900.0,0.0,,defense,H2NY23228,"LANGWORTHY, NICK",ie,2326404.96,2477497.8,0,6462.0,2026-06-30,False,
H-CA-06,H,CA,06,DEM,True,False,91705.42,0.0,0.0,0.0,91705.42,46200.0,91705.42,0.0,,,H6CA03158,"PAN, RICHARD DR.",ie,1098282.7,359131.99,0,201.56,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,,H6CA06292,"STANSFIELD, MICHAEL",receipts,17441.0,0.0,0,0.0,2026-03-31,False,
H-VA-07,H,VA,07,DEM,False,False,90667.31,0.0,0.0,0.0,90667.31,90667.31,90667.31,0.0,,defense,H4VA07234,"VINDMAN, YEVGENY 'EUGENE'",ie,12355663.9,6573093.27,0,2948.75,2026-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6VA07197,"DURANT, TARA ANNE",receipts,392454.05,102338.16,0,0.0,2026-06-30,False,
H-SD-00,H,SD,00,REP,False,False,82059.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6SD01141,"GRONLI, NICOLE",receipts,261763.52,110977.81,0,6093.0,2026-06-30,0.0,0.0,82059.06,82059.06,82059.06,0.0,,defense,H6SD01109,"JACKLEY, MARTY",ie,1438706.43,1062725.38,0,0.0,2026-06-30,False,
H-NY-19,H,NY,19,DEM,False,False,73020.97,0.0,0.0,0.0,73020.97,73020.97,73020.97,0.0,,defense,H8NY22177,"RILEY, JOSH",ie,4825666.01,3190953.67,0,5022.48,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6NY19268,"OBERACKER, PETER KARL JR",receipts,1237178.98,392867.56,0,10000.0,2026-06-30,False,
H-NY-22,H,NY,22,DEM,False,False,71376.88,0.0,0.0,0.0,71376.88,71376.88,71376.88,0.0,,defense,H4NY22085,"MANNION, JOHN W",ie,2694738.65,1842997.29,0,5309.87,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6NY22213,"BULLER, KAILEE",receipts,267338.61,186587.28,0,0.0,2026-06-30,False,
H-NY-21,H,NY,21,REP,False,False,67201.05,7171.2,0.0,0.0,27201.05,27201.05,27201.05,7171.2,,offense,H6NY21199,"GENDEBIEN, BLAKE",ie,5461528.21,2622584.95,0,0.0,2026-06-30,0.0,0.0,40000.0,40000.0,40000.0,0.0,,defense,H6NY21157,"CONSTANTINO, ANTHONY THOMAS",receipts,9460254.31,3036385.69,0,0.0,2026-06-30,False,
